brand,product_name,parent_category,child_category,materials,price,Body materials_original,Body materials_normalized
Mexx,Skirt Tweed Taupe,Bottoms,Skirt,100% Polyester,87.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Gilet Sleeveless Tweed Taupe,Tops,Shirt/Blouse,100% Polyester,109.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Blouse Chamomile Tencel Green,Tops,Shirt/Blouse,"86% Lyocell, 14% Polyester",87.99,"[(86, 'Lyocell'), (14, 'Polyester')]","[(86, 'lyocell'), (14, 'polyester')]"
Mexx,Blouse Heavy lace White,Tops,Shirt/Blouse,"71% Viscose, 29% Polyamide",87.99,"[(71, 'Viscose'), (29, 'Polyamide')]","[(71, 'viscose'), (29, 'nylon')]"
Mexx,Top Woven Allover Print Beige,Tops,Shirt/Blouse,100% Viscose,87.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Dress Heavy lace Yellow Brown,Dresses & Jumpsuits,Dress,"71% Viscose, 29% Polyamide",131.99,"[(71, 'Viscose'), (29, 'Polyamide')]","[(71, 'viscose'), (29, 'nylon')]"
Mexx,Skirt Satin Printed Maxi Beige,Bottoms,Skirt,100% Viscose,98.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Bomberjack Tweed Oversized Taupe,Outerwear,Jacket,100% Polyester,153.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,T-shirt Embroidery Oversized Black,Tops,T-shirt,100% Cotton,43.99,"[(100, 'Cotton')]","[(100, 'cotton')]"
Mexx,Skirt Iceflower Multi Black,Bottoms,Skirt,"97% Polyester, 3% Elastane",98.99,"[(97, 'Polyester'), (3, 'Elastane')]","[(97, 'polyester'), (3, 'elastane')]"
